"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Localização (Latitude)";"Localização (Longitude)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"4233";"AD MÉDIC AGROTURISMO, LDA";"HORTA DA VILA";;"Classificado em auditoria";"16";"8";"1";"HORTA DA VILA";"7920-000";"Alvito";"Alvito";"Beja";"38.256986";"-7.988157";"00351917628934";"00351284480049";"paula.cordeiro@hortadavila.pt";"www.hortadavila.pt";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"AD MEDIC - AGROTURISMO LDA";
"Estabelecimento Hoteleiro - Hotel";"2970";"Adega Oceano";;"*";"Por reconverter";"72";"32";"1";"Avinida da República,nº 51";"2450-101";"Nazaré";"Nazaré";"Leiria";"39.600623";"-9.073269";"262561161";"262561790";"info@adegaoceano.com";"www.adegaoceano.com";"TURISMO DO OESTE";"Centro (P)";"Oeste";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ALFREDO LUIS RIBEIRO NARCISO VICENTE";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"674";"Adegas do Pico";"Adegas do Pico";;"Por reconverter";"50";"22";"1";"Rua do Ramal";"9940-062";"Prainha";"São Roque do Pico";"Ilha do Pico";"38.466661";"-28.203149";"922224741";"0014082736892";"info@adegasdopico.com";"www.adegasdopico.com";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"Regional";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Adegas do Pico";
"Estabelecimento Hoteleiro - Hotel";"1644";"Adelaide Hotel";"Adelaide Hotel";"**";"Classificado em auditoria";"31";"19";"0";"R Cruz das Metras 9";"8000-261";"Faro";"Faro";"Faro";"37.019047";"-7.933246";"289802383";"289826870";"info@adelaidehotel.eu";"www.adelaideresidencial.net";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ADELAIDE MARIA PEREIRA CAVACO DOS SANTOS";
"Estabelecimento Hoteleiro - Hotel";"32";"ADELAIDE HOTEL";;"**";"Classificado em auditoria";"89";"47";"0";"RUA DE ARNASSÓ N.º45";"4845-063";"Gerês";"Terras de Bouro";"Braga";"41.719320";"-8.308923";"253390020";"253390029";"geral@adelaidehotel.pt";"www.adelaidehotel.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Pensão Adelaide &amp; Filhos, Lda.";
"Estabelecimento Hoteleiro - Hotel";"96";"Adriana Beach Club Hotel Resort";"Adriana Beach Club";"****";"Classificado em auditoria";"516";"258";"1";"Rocha Baixinha-Apartado 6115-Olhos d'Agua";"8200-379";"Albufeira";"Albufeira";"Faro";"37.076152";"-8.126420";"289540100";"289540124";"geral@ap-hotelsresorts.com";"www.ap-hotelsresorts.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2010-03-01-&gt;2010-03-10 Ano em causa:2010, 2012-11-01-&gt;2013-03-21 Ano em causa:2012, 2013-11-01-&gt;2014-04-03 Ano em causa:2013, 2014-11-01-&gt;2015-03-26 Ano em causa:2014, 2015-11-01-&gt;2016-03-17 Ano em causa:2015, ";"Não";"---";"0";"Sim";"150";"Sim";"Sim";"Sim";"Sim";"Sim";"Não";"Sim";;;"Alditurismo - Exploração Turística SA";
"Empreendimento de Turismo de Habitação";"734";"ADRIANO PEREIRA AFONSO";"SOLAR DE SERRADE";;"Por reconverter";"14";"8";"0";"QUINTA DE SERRADE";"4950-280";"Mazedo";"Monção";"Viana do Castelo";"42.025951";"-8.418422";"251654008";"251654041";"solardeserrade@hotmail.com";"www.solardeserrade.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"Local";"0";"Sim";"200";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"ADRIANO PEREIRA AFONSO";
"Estabelecimento Hoteleiro - Hotel";"4232";"Agarrocha";"Hotel Agarrocha";"***";"Classificado em auditoria";"28";"14";"1";"Rua 1º Dezembro s/n.º";"7230-042";"Barrancos";"Barrancos";"Beja";"38.132881";"-6.977313";"285950680";"285950689";"hotelagarrochabarrancos@gmail.com";;"TURISMO TERRAS DO GRANDE LAGO ALQUEVA - ALENTEJO";"Alentejo";"Baixo Alentejo";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"HOTEL AGARROCHA LDA";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"4228";"AGRIAMARELO - SOCIEDADE AGRICOLA, LDA";"Herdade do Amarelo - natura &amp; spa";;"Classificado em auditoria";"14";"7";"1";"Cx. postal 5338";"7630-440";"São Luís";"Odemira";"Beja";"37.597200";"-8.642170";"917587882";;"geral@herdadedoamarelo.pt";"www.herdadedoamarelo.pt";"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"AGRIAMARELO - SOCIEDADE AGRICOLA, LDA";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"4297";"Agro Turismo Monte Alto";"Agro Turismo Monte Alto";;"Classificado em auditoria";"16";"8";"0";"Herdade do Monte Alto";"7370-191";"N Senhora Graça Degolados";"Campo Maior";"Portalegre";"38.880279";"-7.163664";"968544020";;"geral@montealto.com.pt";"www.montealto.com.pt";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"João Luis Duque Pereira Parreira";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5568";"AGRO-TURISMO - Herdade da Maxuqueira";"Herdade da Maxuqueira - Agro-Turismo";;"Classificado em projeto";"24";"12";"1";"Herdade da Maxuqueira";"6040-077";"Margem";"Gavião";"Portalegre";;;"912139412";;"herdadedamaxuqueira@gmail.com";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Vírgula Verde, Lda";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5857";"agroturismo A Fidalga";"agroturismo A Fidalga";;"Classificado em auditoria";"6";"3";"1";"Quinta da portela";"6360-080";"Linhares Clb";"Celorico da Beira";"Guarda";;;"962522893";;"m-silva-2006@hotmail.com";"www.afidalga.com";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Beira Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"agroturismo A Fidalga unipessoal LDA.";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"3917";"Agro-Turismo A Serenada";"Monte da Serenada";;"Classificado em auditoria";"12";"6";"0";"Monte da Serenada";"7570-345";"Grândola";"Grândola";"Setúbal";"38.176256";"-8.566297";"918298673";;"jacinta@serenada.pt";;"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";;"Não";"---";"0";"Sim";"35";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MARIA JACINTA NUNES DA COSTA GOMES SOBRAL DA SILVA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5231";"Agro-Turismo da Quinta de  D.João";"MORAGRI SOCIEDADE AGRICOLA, S.A.";;"Classificado em auditoria";"20";"10";"0";"HERDADE DA QUINTA - SANTA CLARA DE LOUREDO";"7800-721";"Santa Clara de Louredo";"Beja";"Beja";;;"912545445";;"quintadomjoao@gmail.com";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MORAGRI SOC AGRICOLA SA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5703(Em análise pelo Turismo de Portugal, I.P.)";"Agroturismo da Quinta de Merouço";"Casa de Xisto de Merouço";;"Classificado em auditoria";"8";"4";"0";"Apeadeiro de Merouços";"5070-231";"Castedo Alj";"Alijó";"Vila Real";;;"932505560";;"casas@quintademerouco.com";"quintademerouco.com/index.php";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"TECAGEST - GESTÃO E PRESTAÇÃO DE SERVIÇOS IMOBILI";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5841";"Agro-Turismo do Roxo";;;"Classificado em auditoria";"18";"9";"1";"Herdade Corte Ripais, Santa Vitória";"7800-732";"Santa Vitória";"Beja";"Beja";;;"916278989";;"agroturismodoroxo@gmail.com";"https://www.facebook.com/Agro-Turismo-do-Roxo-1587";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"JORGE DO O GONÇALVES DA SILVA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5522";"Agroturismo Fonte Ferreira";;;"Classificado em auditoria";"16";"8";"1";"Monte da Fonte Ferreira";"7480-055";"Aldeia Velha Avs";"Avis";"Portalegre";;;"242030894";;"fonte_ferreira@sapo.pt";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"0";"Sim";"30";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"SOCIEDADE AGRICOLA DA HERDADE DA FONTE FERREIRA LDA.";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5465";"Agroturismo Quinta da Bela Vista";"Bela Vista Silo Housing";;"Classificado em auditoria";"13";"7";"0";"Quinta da Bela Vista 176";"5350-231";"Eucisia";"Alfândega da Fé";"Bragança";;;"917121274";;"terra.transparente@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Terra Transparente Lda";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"4970";"AGRO-TURISMO QUINTA DA FONTE";"QUINTA DA FONTE";;"Classificado em auditoria";"4";"2";"0";"Fontainha - Carapinhal - Figueiró dos Vinhos";"3260-328";"Figueiró dos Vinhos";"Figueiró dos Vinhos";"Leiria";;;"933011017";;"info@quintadafonte.nl";"www.quintadafonte.nl";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"LIEDEWIJDE GERDINA SCHIEVING";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5585";"Agroturismo Quinta de Travancela";;;"Classificado em auditoria";"15";"7";"1";"Rua de Felagueiras, 15";"4605-125";"Mancelos";"Amarante";"Porto";;;"969312226";;"agroturismo.quinta.travancela@gmail.com";"www.quintadetravancela.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Tâmega";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"JAIME FERREIRA PEREIRA CARDOSO";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5611";"Agro-turismo Xistos";"Xistos - A vida é de Momentos";;"Classificado em auditoria";"10";"5";"1";"Herdade Monte da Ponte";"7800-760";"Trindade Bja";"Beja";"Beja";;;"964814928";"284321518";"paulacondutomira@gmail.com";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"0";"Sim";"15";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"SOC AGRO PECUARIA BROCO E POLINA LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Estabelecimento Hoteleiro - Hotel";"3792";"Água d'Alma Hotel";"Água d'Alma Hotel";"***";"Classificado em projeto";"52";"28";"1";"Rua dos Camarções, 3";"2500-481";"Foz do Arelho";"Caldas da Rainha";"Leiria";"39.436578";"-9.217217";"262979610";"262979832";"geral@hotelpenedofurado.com";"www.hotelpenedofurado.com";"TURISMO DO OESTE";"Centro (P)";"Oeste";;"Sim";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Mondim Domingues, Lda";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"817";"Água Hotels Mondim de Basto";"Água Hotels";"****";"Classificado em auditoria";"108";"49";"1";"Monte da Paradela";"4880-162";"Mondim de Basto";"Mondim de Basto";"Vila Real";"41.396127";"-7.970581";"255389040";"255382001";"geral@aguahotels.pt";"www.aguahotels.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";;"Não";"---";"0";"Sim";"80";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"MONDIM TAMEGA PARK EMPREENDIMENTOS TURISTICOS S A";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"403";"agua marinha";"agua marinha";"**";"Por reconverter";"2";"17";"1";"caminho da alfarrobeira";"8200-652";"Albufeira";"Albufeira";"Faro";"37.095105";"-8.198864";"289501223";"289501225";"v_clemente@sapo.pt";;"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"V VITORIA LDA";
"Estabelecimento Hoteleiro - Hotel";"977";"Aguiar da Pena Hotel";"Hotel Aguiar da Pena";"***";"Classificado em auditoria";"86";"43";"1";"Rua Imperador Teodósio, 22";"5450-022";"Vila Pouca de Aguiar";"Vila Pouca de Aguiar";"Vila Real";"41.499443";"-7.648129";"259417338";"259416015";"geral@hotelaguiardapena.com";"www.hotelaguiardapena.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ANTONIO MACHADO PINTO";
"Empreendimento de Turismo de Habitação";"931";"Aguilar - Turismo de Habitação, Lda.";"Casa Vermelha";;"Classificado em auditoria";"14";"7";"0";"Avenida Gago Coutinho, n.º 3";"5150-610";"Vila Nova de Foz Côa";"Vila Nova de Foz Côa";"Guarda";"41.075760";"-7.140813";"279765252";"279765252";"geral@casavermelha.com";"www.casavermelha.com";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"Local";"0";"Não";"0";"Sim";"Sim";"Não";"Não";"Não";"Não";"Não";;;"AGUILAR TURISMO DE HABITA??O LDA";
"Estabelecimento Hoteleiro - Hotel";"1134";"Albergaria Atlantico";"Albergaria Atlantico";"***";"Por reconverter";"32";"16";"0";"Rua General Pimenta de Castro,15";"4950-498";"Monção";"Monção";"Viana do Castelo";"42.078162";"-8.482096";"251652355";"251652376";"moscoso@sapo.pt";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Sim";"---";"1";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Moscoso Hoteis Turismo, Lda";
"Estabelecimento Hoteleiro - Hotel";"824";"Albergaria Borges Hotel";"Albergaria Borges";"***";"Classificado em auditoria";"28";"24";"1";" EN 2  Lugar da Fonte Outeiro Jusão";"5400-575";"Chaves";"Chaves";"Vila Real";"41.717874";"-7.482544";"276/351450/1";"276/351452";"albergariaborges@sapo.pt";"www.albergariaborges.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"2";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ALBERGARIA BORGES SOCIEDADE DE RESTAURAÇÃO LDA";
"Estabelecimento Hoteleiro - Hotel";"6071";"Albergaria D. Dinis Hotel";;"***";"Classificado em auditoria";"33";"17";"1";"Rua Dr. Eduardo Castro";"6110-218";"Vila de Rei";"Vila de Rei";"Castelo Branco";;;"274898066";;"albergariaddinis@sapo.pt";;"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Sul";;"Não";"---";"2";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SOLAR DO MOINHO - RESTAURANTE E PASTELARIA LDA";
"Estabelecimento Hoteleiro - Hotel";"767";"Albergaria do Calvário Hotel";"Albergaria do calvário";"****";"Classificado em auditoria";"44";"22";"0";"Travessa dos Lagares, 3";"7000-565";"Évora";"Évora";"Évora";"38.574423";"-7.914263";"266745930";"266745939";"hotel@albergariadocalvario.com";"www.albergariadocalvario.com";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Saniebora Investimentos Turísticos, Lda";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4902";"Albergue da Vacariça";;;"Classificado em auditoria";"26";"3";"0";"Lugar da Vacariça";"4990-718";"Refóios do Lima";"Ponte de Lima";"Viana do Castelo";;;"258240201";"258240238";"lagoas@cm-pontedelima.pt";"www.lagoas.cm-pontedelima.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Capricho Selvagem, Lda.";
"Empreendimento de Turismo de Habitação";"4518";"Albergue do Bonjardim";"Albergue do Bonjardim";;"Classificado em auditoria";"17";"6";"0";"Albergue do Bonjardim";"6100-459";"Nesperal";"Sertã";"Castelo Branco";"39.816919";"-8.184938";"274809647";;"info@bonjardim.eu";"www.bonjardim.nl";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Sul";"2014-11-01-&gt;2015-03-15 Ano em causa:2014, ";"Não";"---";"0";"Sim";"80";"Não";"Não";"Sim";"Não";"Não";"Não";"Não";;"Agricultura biológica";"Hubertus Johannes Lenders";"Programa de Desenvolvimento Rural (PRODER), "
"Estabelecimento Hoteleiro - Hotel";"392";"Albufeira Lounge - Boutique Hotel";;"***";"Classificado em auditoria";"44";"23";"0";"Av Infante D Henrique 38";"8200-261";"Albufeira";"Albufeira";"Faro";"37.088541";"-8.234117";"289586232";"289586233";"info@albufeiralounge.com";"www.krhotels.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Sensitivedays, Lda.";
"Estabelecimento Hoteleiro - Hotel-apartamento";"348";"Albufeira Sol Hotel Apartamento &amp; SPA";;"****";"Classificado em auditoria";"376";"188";"2";"Corcovada  - Areias de S.Joaõa";"8200-664";"Albufeira";"Albufeira";"Faro";"37.090453";"-8.245751";"289587496";"289587499";"albufeirasol@conforhoteis.pt";"www.conforhoteis.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"2";"Não";"0";"Sim";"Sim";"Sim";"Sim";"Não";"Não";"Não";;;"CONFORHOTEIS - GEST?O DE HOTEIS LDA";
"Aldeamento Turístico";"4441";"Aldeamento Turístico 1 - PESTANA TRÓIA ECO RESORT";"Pestana Residences";"****";"Classificado em auditoria";"140";"35";"1";"Estrada Nacional 253 - 1, actual Via Longitudinal de Tróia";"7570-789";"Carvalhal Gdl";"Grândola";"Setúbal";"38.463256";"-8.867417";"265240150";;"fo.troia@pestana.com";"www.pestanatroia.com";"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";;"Sim";"---";"1";"Não";"0";"Sim";"Sim";"Sim";"Sim";"Sim";"Não";"Sim";;;"Carvoeiro Golfe, S.A.";
"Aldeamento Turístico";"1155";"Aldeamento Turistico Alfagar";;"***";"Classificado em auditoria";"570";"214";"1";"Santa Eulália -Apartado 866";"8200-269";"Albufeira";"Albufeira";"Faro";"37.117363";"-8.243175";"289540220";"289540229";"alfagar@alfagar.com";"www.alfagar.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"2";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Algarosa - Sociedade Gestora de Hotéis, Lda";
"Aldeamento Turístico";"63";"Aldeamento Turístico Bom Sucesso Lagoa Golf";"BOM SUCESSO Resort";"*****";"Classificado em auditoria";"1632";"338";"0";"Empreendimento Bom Sucesso";"2510-662";"Vau";"Óbidos";"Leiria";"39.382457";"-9.245778";"262965300";"262965309";"financeiro@bomsucesso.net";"www.bomsucesso.net";"TURISMO DO OESTE";"Centro (P)";"Oeste";;"Sim";"---";"2";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Sim";"Sim";;;"BS Villas - Exploração Turística, Lda";
"Aldeamento Turístico";"3765";"Aldeamento Turístico Casas da Comporta";"Casas da Comporta";"****";"Classificado em auditoria";"452";"136";"0";"EN 253 - Comporta";"7580-611";"Comporta";"Alcácer do Sal";"Setúbal";"38.381951";"-8.785433";"265497211";"265497283";"geral@casasdacomporta.net";"www.casasdacomporta.net";"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";"2015-01-06-&gt;2015-04-30 Ano em causa:2015, 2015-11-01-&gt;2016-04-30 Ano em causa:2015, ";"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"TURINPOR ADMINISTRAÇÃO E EXPLORAÇÃO TURISTICA S A";
"Aldeamento Turístico";"1626";"Aldeamento Turistico da Prainha";"Prainha";"***";"Classificado em auditoria";"694";"132";"0";"Prainha - Praia dos Três Irmãos";"8500-072";"Alvor";"Portimão";"Faro";"37.119597";"-8.577704";"282480000";"282458950";"administracao@prainha-ei.pt";"www.prainha.net";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"PRAINHAMAR EXPLORACAO HOTELEIRA SA";
"Aldeamento Turístico";"1353";"ALDEAMENTO TURÍSTICO DE PALMELA";;"***";"Classificado em auditoria";"98";"49";"1";"RUA MANUEL CARROMEU";"2965-515";"Águas de Moura";"Palmela";"Setúbal";"38.578853";"-8.787539";"265930000";"268930099";"reservas@fpalmela.com";"www.fpalmela.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Península de Setúbal";;"Não";"---";"2";"Sim";"60";"Não";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"FPTUR- ACTIVIDADES TURÍSTICAS HOTELEIRAS E DE DESPORTO DE LAZER, S.A.";
"Aldeamento Turístico";"4376";"Aldeamento Turistico de Pedras da Rainha";;"***";"Classificado em auditoria";"1124";"447";"0";"Cabanas de Tavira";"8800-591";"Cabanas de Tavira";"Tavira";"Faro";"37.138770";"-7.603130";"281380680";"281380681";"recepcao@pedrasdarainha.com";"www.pedrasdarainha.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Sim";"20";"Não";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"PEDRAS DA RAINHA ACTIVIDADES TURISTICAS SA";
"Aldeamento Turístico";"3552";"Aldeamento Turístico do Camarido";"Aldeamento Turístico Camarido";"***";"Classificado em auditoria";"120";"32";"1";"Lugar da Joaninha - Cristelo";"4910-180";"Cristelo Cmn";"Caminha";"Viana do Castelo";"41.852600";"-8.846875";"258722130";"258722131";"info@aldeamentocamarido.com";"www.aldeamentocamarido.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"ALDEAMENTO TURISTICO CAMARIDO LDA";
"Aldeamento Turístico";"1455";"Aldeamento Turístico do Esquio";"MORE Esquio Mountain Reserve (aguarda deferimento)";"****";"Classificado em projeto";"186";"87";"2";"Esquio";"3230-107";"Espinhal";"Penela";"Coimbra";"40.000037";"-8.330403";"964013059";;"esquiomountain@hotmail.com";;"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"1";"Sim";"0";"Sim";"Sim";"Sim";"Sim";"Sim";"Não";"Sim";;;"ESQUIO MOUNTAIN LDA";"AICEP, Programa Operacional Factores de Competitividade, "
"Aldeamento Turístico";"1458";"Aldeamento Turístico do Pessegueiro";"MORE Esquio Mountain Reserve (aguarda deferimento)";"****";"Classificado em projeto";"138";"67";"2";"Pessegueiro";"3230-107";"Espinhal";"Penela";"Coimbra";"39.997926";"-8.337706";"964013059";;"esquiomountain@hotmail.com";;"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"2";"Sim";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"ESQUIO MOUNTAIN LDA";"AICEP, Programa Operacional Factores de Competitividade, "
